EDITION;ID;PERSON;TITLE;INTERNATIONAL TITLES;DIRECTOR/S;MAIN PRODUCTION COUNTRY;CO-PRODUCTION COUNTRY/IES;SECTION;PRIZE;NOTE
2021;1219010;Gia Agumava;WET SAND;;Elene Naveriani;Switzerland;Georgia;Concorso Cineasti del presente;Pardo for Best Actor;
2021;1227925;;SHE WILL;;Charlotte Colbert;United Kingdom;;Fuori concorso;Swatch First Feature Award;
2021;1203928;;AGIA EMI;Holy Emy;Araceli Lemos;Greece ;France, USA;Concorso Cineasti del presente;Special mention ;First Feature
2021;1214774;;CRIATURA;Creature;María Silvia Esteve;Argentina;Switzerland;"Pardi di domani
Concorso Corti d'autore";Pardino d’oro Swiss Life for the Best Auteur Short;
2021;1214347;;FANTASMA NEON;Neon Phantom;Leonardo Martinelli;Brazil;;"Pardi di domani
Concorso internazionale";Pardino d’oro SRG SSR for the Best International Short Film;
2021;1215667;;LES DÉMONS DE DOROTHY;The Demons Of Dorothy ;Alexis Langlois;France;;"Pardi di domani
Concorso internazionale";Pardino d’argento SRG SSR for the International Competition;
2021;1214766;; IN FLOW OF WORDS;;Eliane Esther Bots;Netherlands;;"Pardi di domani
Concorso internazionale";Pardi di domani Best Direction Prize – BONALUMI Engineering;
2021;1214533;;IMUHIRA;Home;Myriam Uwiragiye Birara;Ruanda;;"Pardi di domani
Concorso internazionale";Medien Patent Verwaltung AG Award;
2021;1216165;;FIRST TIME [THE TIME FOR ALL BUT SUNSET - VIOLET];;Nicolaas Schmidt;Germany;;"Pardi di domani
Concorso internazionale";Special mention;
2021;1214766;; IN FLOW OF WORDS;;Eliane Esther Bots;Netherlands;;"Pardi di domani
Concorso internazionale";Locarno Short Film Candidate for the European Film Awards;
2021;1213875;;CHUTE;Strangers;Nora Longatti;Switzerland;;"Pardi di domani
Concorso nazionale";Pardino d’oro Swiss Life for the Best Swiss Short Film;
2021;1214276;;AFTER A ROOM;; Naomi Pacifique;United Kingdom;Netherlands, Switzerland;"Pardi di domani
Concorso nazionale";Pardino d’argento Swiss Life for the National Competition;
2021;1214397;;ES MUSS;It Must;"
Flavio Luca Marano,  Jumana Issa
";Switzerland;;"Pardi di domani
Concorso nazionale";Best Swiss Newcomer Award;
2021;1218336;;ROSE;;Aurélie Saada ;France;;Piazza Grande;Variety Piazza Grande Award;
2021;1208308;;HINTERLAND;;Stefan Ruzowitzky;Austria;Luxembourg;Piazza Grande;Prix du public UBS;
2020;1171039;;CHOCOBAR ;;Lucrecia Martel;Argentina;USA, Denmark, Mexico ;The Films After Tomorrow – International selection;Pardo 2020 for the production of the film, to the Best International Project ;
2020;1171035;;SELVAJARIA;Savagery;Miguel Gomes;Portugal;France, Brazil, Chine, Greece ;The Films After Tomorrow – International selection;Campari Award Special Jury Prize ;
2020;1171055;;DE HUMANI CORPORIS FABRICA;The Fabric of the Human Body;Verena Paravel, Lucien Castaing-Taylor;France;USA;The Films After Tomorrow – International selection;Swatch Award for the most innovative project ;
2020;1171223;;ZAHORÍ;;Marí Alessandrini;Switzerland;Argentina,Chile,France ;The Films After Tomorrow – Swiss selection;Pardo 2020 for the production of the film, to the Best Swiss Project  ;
2020;1171180;;LUX;;Raphaël Dubach, Mateo Ybarra ;Switzerland;;The Films After Tomorrow – Swiss selection;SRG SSR Award ;
2020;1171256;;I RAN FROM IT AND WAS STILL IN IT;;Darol Olu Kae;USA;;"Pardi di domani
Concorso internazionale";Pardino d’oro SRG SSR for the Best International Short Film;
2020;1171998;;HISTORY OF CIVILIZATION ;;Zhannat Alshanova;Kazakhstan;;"Pardi di domani
Concorso internazionale";Pardino d’argento SRG SSR for the International Competition;
2020;1171511;;THIÊN ĐƯỜNG GỌI TÊN;A Trip to Heaven;Linh Duong;Vietnam;Singapore;"Pardi di domani
Concorso internazionale";Medien Patent Verwaltung AG Prize ;
2020;1171258;;LIFE ON THE HORN;;Mo Harawe;Somalia;Austria, Germany;"Pardi di domani
Concorso internazionale";Special mention ;
2020;1171770;;MENSCHEN AM SAMSTAG ;People on Saturday;Jonas Ulrich;Switzerland;;"Pardi di domani
Concorso nazionale";Pardino d’oro Swiss Life for the Best Swiss Short Film;
2020;1171585;;TROU NOIR;Black Hole;Tristan Aymon;Switzerland;;"Pardi di domani
Concorso nazionale";Pardino d’argento Swiss Life for the National Competition;
2020;1171573;;LACHSMÄNNER;Salmon Men;Veronica L. Montaño, Manuela Leuenberger, Joel Hofmann;Switzerland;;"Pardi di domani
Concorso nazionale";Best Swiss Newcomer Prize;
2020;1171770;;MENSCHEN AM SAMSTAG ;People on Saturday;Jonas Ulrich;Switzerland;;"Pardi di domani
Concorso nazionale";Locarno Short Film Candidate for the European Film Awards;
2020;1171052;;"CIDADE;CAMPO";;Juliana Rojas;Brazil;;Cinema&Gioventù Jury;The Films After Tomorrow: Prize for Best International Project ;
2020;1171229;;AZOR;;Andreas Fontana;Switzerland;France, Argentina;Cinema&Gioventù Jury;The Films After Tomorrow: Prize for Best Swiss Project ;
2020;1171038;;EUREKA;;Lisandro Alonso;France;Portugal, Germany, Mexico, Argentina;Cinema&Gioventù Jury;The Films After Tomorrow: “Environment is quality of life” Prize ;
2020;1171245;;ANINSRI DAENG;"Red Aninsri; or, Tiptoeing on the Still Trembling Berlin Wall";Ratchapoom Boonbunchachoke;Thailand;;Cinema&Gioventù Jury;Pardi di domani – Prize for Best International Short Film ;
2020;1171585;;TROU NOIR;Black Hole;Tristan Aymon;Switzerland;;Cinema&Gioventù Jury;Pardi di domani – Prize for Best Swiss Short Film ;
2020;1170696;;KADO;A Gift;Aditya Ahmad;Indonesia;;Open Doors Screenings - Short films;Prize for Best Short Film ;
